oak,year,Treatment,type,time,plot,count,tree
1,2018,Grazed,infested,Before,a,3,p1
2,2018,Grazed,infested,Before,a,0,p2
3,2018,Grazed,infested,Before,a,2,p3
4,2018,Grazed,infested,Before,a,3,p4
5,2018,Grazed,infested,Before,a,6,p5
1,2018,Control,infested,Before,a,24,np1
2,2018,Control,infested,Before,a,2,np2
3,2018,Control,infested,Before,a,4,np3
4,2018,Control,infested,Before,a,4,np4
5,2018,Control,infested,Before,a,2,np5
1,2018,Grazed,infested,Before,b,3,p1
2,2018,Grazed,infested,Before,b,3,p2
3,2018,Grazed,infested,Before,b,11,p3
4,2018,Grazed,infested,Before,b,9,p4
5,2018,Grazed,infested,Before,b,6,p5
1,2018,Control,infested,Before,b,9,np1
2,2018,Control,infested,Before,b,15,np2
3,2018,Control,infested,Before,b,9,np3
4,2018,Control,infested,Before,b,7,np4
5,2018,Control,infested,Before,b,1,np5
1,2018,Grazed,infested,After,a,5,p1
2,2018,Grazed,infested,After,a,0,p2
3,2018,Grazed,infested,After,a,1,p3
4,2018,Grazed,infested,After,a,1,p4
5,2018,Grazed,infested,After,a,2,p5
1,2018,Control,infested,After,a,30,np1
2,2018,Control,infested,After,a,9,np2
3,2018,Control,infested,After,a,0,np3
4,2018,Control,infested,After,a,9,np4
5,2018,Control,infested,After,a,4,np5
1,2018,Grazed,infested,After,b,2,p1
2,2018,Grazed,infested,After,b,0,p2
3,2018,Grazed,infested,After,b,6,p3
4,2018,Grazed,infested,After,b,1,p4
5,2018,Grazed,infested,After,b,1,p5
1,2018,Control,infested,After,b,5,np1
2,2018,Control,infested,After,b,14,np2
3,2018,Control,infested,After,b,9,np3
4,2018,Control,infested,After,b,13,np4
5,2018,Control,infested,After,b,2,np5
1,2018,Grazed,other,Before,a,0,p1
2,2018,Grazed,other,Before,a,5,p2
3,2018,Grazed,other,Before,a,6,p3
4,2018,Grazed,other,Before,a,1,p4
5,2018,Grazed,other,Before,a,0,p5
1,2018,Control,other,Before,a,17,np1
2,2018,Control,other,Before,a,13,np2
3,2018,Control,other,Before,a,6,np3
4,2018,Control,other,Before,a,13,np4
5,2018,Control,other,Before,a,5,np5
1,2018,Grazed,other,Before,b,6,p1
2,2018,Grazed,other,Before,b,3,p2
3,2018,Grazed,other,Before,b,22,p3
4,2018,Grazed,other,Before,b,12,p4
5,2018,Grazed,other,Before,b,5,p5
1,2018,Control,other,Before,b,21,np1
2,2018,Control,other,Before,b,27,np2
3,2018,Control,other,Before,b,7,np3
4,2018,Control,other,Before,b,21,np4
5,2018,Control,other,Before,b,3,np5
1,2018,Grazed,other,After,a,17,p1
2,2018,Grazed,other,After,a,3,p2
3,2018,Grazed,other,After,a,1,p3
4,2018,Grazed,other,After,a,1,p4
5,2018,Grazed,other,After,a,2,p5
1,2018,Control,other,After,a,20,np1
