trap,year,type,month,treatment,habitat,count
1,2018,abundance,june,grazed,oak,1
2,2018,abundance,june,grazed,oak,0
3,2018,abundance,june,grazed,oak,0
4,2018,abundance,june,grazed,oak,1
1,2018,abundance,june,control,oak,1
2,2018,abundance,june,control,oak,1
3,2018,abundance,june,control,oak,2
4,2018,abundance,june,control,oak,1
1,2018,abundance,june,grazed,hazelnut,0
2,2018,abundance,june,grazed,hazelnut,0
3,2018,abundance,june,grazed,hazelnut,1
4,2018,abundance,june,grazed,hazelnut,1
1,2018,abundance,june,control,hazelnut,1
2,2018,abundance,june,control,hazelnut,0
3,2018,abundance,june,control,hazelnut,0
4,2018,abundance,june,control,hazelnut,0
1,2018,abundance,july,grazed,oak,11
2,2018,abundance,july,grazed,oak,12
3,2018,abundance,july,grazed,oak,4
4,2018,abundance,july,grazed,oak,11
1,2018,abundance,july,control,oak,1
2,2018,abundance,july,control,oak,3
3,2018,abundance,july,control,oak,5
4,2018,abundance,july,control,oak,0
1,2018,abundance,july,grazed,hazelnut,2
2,2018,abundance,july,grazed,hazelnut,0
3,2018,abundance,july,grazed,hazelnut,0
4,2018,abundance,july,grazed,hazelnut,0
1,2018,abundance,july,control,hazelnut,0
2,2018,abundance,july,control,hazelnut,2
3,2018,abundance,july,control,hazelnut,3
4,2018,abundance,july,control,hazelnut,1
1,2018,abundance,augest,grazed,oak,8
2,2018,abundance,augest,grazed,oak,21
3,2018,abundance,augest,grazed,oak,2
4,2018,abundance,augest,grazed,oak,5
1,2018,abundance,augest,control,oak,5
2,2018,abundance,augest,control,oak,8
3,2018,abundance,augest,control,oak,19
4,2018,abundance,augest,control,oak,2
1,2018,abundance,augest,grazed,hazelnut,0
2,2018,abundance,augest,grazed,hazelnut,4
3,2018,abundance,augest,grazed,hazelnut,2
4,2018,abundance,augest,grazed,hazelnut,3
1,2018,abundance,augest,control,hazelnut,2
2,2018,abundance,augest,control,hazelnut,1
3,2018,abundance,augest,control,hazelnut,3
4,2018,abundance,augest,control,hazelnut,2
1,2018,abundance,september,grazed,oak,11
2,2018,abundance,september,grazed,oak,4
3,2018,abundance,september,grazed,oak,1
4,2018,abundance,september,grazed,oak,1
1,2018,abundance,september,control,oak,3
2,2018,abundance,september,control,oak,1
3,2018,abundance,september,control,oak,6
4,2018,abundance,september,control,oak,0
1,2018,abundance,september,grazed,hazelnut,0
2,2018,abundance,september,grazed,hazelnut,1
3,2018,abundance,september,grazed,hazelnut,0
4,2018,abundance,september,grazed,hazelnut,0
1,2018,abundance,september,control,hazelnut,1
2,2018,abundance,september,control,hazelnut,0
3,2018,abundance,september,control,hazelnut,1
4,2018,abundance,september,control,hazelnut,2
1,2019,abundance,june,grazed,oak,6
2,2019,abundance,june,grazed,oak,5
3,2019,abundance,june,grazed,oak,0
4,2019,abundance,june,grazed,oak,2
1,2019,abundance,june,control,oak,1
2,2019,abundance,june,control,oak,3
3,2019,abundance,june,control,oak,2
4,2019,abundance,june,control,oak,3
1,2019,abundance,june,grazed,hazelnut,7
2,2019,abundance,june,grazed,hazelnut,3
3,2019,abundance,june,grazed,hazelnut,1
4,2019,abundance,june,grazed,hazelnut,0
1,2019,abundance,june,control,hazelnut,0
2,2019,abundance,june,control,hazelnut,7
3,2019,abundance,june,control,hazelnut,6
4,2019,abundance,june,control,hazelnut,7
1,2019,abundance,july,grazed,oak,5
2,2019,abundance,july,grazed,oak,12
3,2019,abundance,july,grazed,oak,4
4,2019,abundance,july,grazed,oak,2
1,2019,abundance,july,control,oak,5
2,2019,abundance,july,control,oak,7
3,2019,abundance,july,control,oak,3
4,2019,abundance,july,control,oak,15
1,2019,abundance,july,grazed,hazelnut,9
2,2019,abundance,july,grazed,hazelnut,2
3,2019,abundance,july,grazed,hazelnut,3
4,2019,abundance,july,grazed,hazelnut,8
1,2019,abundance,july,control,hazelnut,2
2,2019,abundance,july,control,hazelnut,5
3,2019,abundance,july,control,hazelnut,22
4,2019,abundance,july,control,hazelnut,9
1,2019,abundance,augest,grazed,oak,3
2,2019,abundance,augest,grazed,oak,8
3,2019,abundance,augest,grazed,oak,4
4,2019,abundance,augest,grazed,oak,4
1,2019,abundance,augest,control,oak,8
2,2019,abundance,augest,control,oak,9
3,2019,abundance,augest,control,oak,3
4,2019,abundance,augest,control,oak,6
1,2019,abundance,augest,grazed,hazelnut,3
2,2019,abundance,augest,grazed,hazelnut,1
3,2019,abundance,augest,grazed,hazelnut,2
4,2019,abundance,augest,grazed,hazelnut,0
1,2019,abundance,augest,control,hazelnut,0
2,2019,abundance,augest,control,hazelnut,2
3,2019,abundance,augest,control,hazelnut,5
4,2019,abundance,augest,control,hazelnut,3
1,2019,abundance,september,grazed,oak,0
2,2019,abundance,september,grazed,oak,8
