timing,date,pig,transect,meter ,vegtype,coverest,coverclass,plantid,notes,access ,,,,,,,,,,,,,,
B,9/13/18,P ,1,5,distrubed,0,0,,,e,,,,,,,,,,,,,,
B,9/13/18,P ,1,20,distrubed,0,0,,,e,,,,,,,,,,,,,,
B,9/13/18,P ,1,35,distrubed,0,0,,,e,,,,,,,,,,,,,,
B,9/13/18,P ,1,50,distrubed,0,0,,,e,,,,,,,,,,,,,,
B,9/13/18,P ,2,5,distrubed,0,0,,,e,,,,,,,,,,,,,,
B,9/13/18,P ,2,20,distrubed,0,0,,,e,,,,,,,,,,,,,,
B,9/13/18,P ,2,35,distrubed,0,0,,,h,,,,,,,,,,,,,,
B,9/13/18,P ,2,50,distrubed,0,0,,,e,,,,,,,,,,,,,,
B,9/14/18,P ,3,5,distrubed,0,0,,,h,,,,,,,,,,,,,,
B,9/14/18,P ,3,20,distrubed,0,0,,,e,,,,,,,,,,,,,,
B,9/14/18,P ,3,35,distrubed,0,0,,,e,,,,,,,,,,,,,,
B,9/14/18,P ,3,50,distrubed,0,0,,,e,,,,,,,,,,,,,,
B,9/14/18,NP,1,5,distrubed,0,0,,,e,,,,,,,,,,,,,,
B,9/14/18,NP,1,20,distrubed,0,0,,,h,,,,,,,,,,,,,,
B,9/14/18,NP,1,35,distrubed,0,0,,,e,,,,,,,,,,,,,,
B,9/14/18,NP,1,50,distrubed,0,0,,,h,,,,,,,,,,,,,,
B,9/14/18,NP,2,5,distrubed,10,15,,,e,,,,,,,,,,,,,,
B,9/14/18,NP,2,20,distrubed,0,0,,,h,,,,,,,,,,,,,,
B,9/14/18,NP,2,35,distrubed,0,0,,,h,,,,,,,,,,,,,,
B,9/14/18,NP,2,50,distrubed,10,15,,,e,,,,,,,,,,,,,,
B,9/14/18,NP,3,5,distrubed,0,0,,,e,,,,,,,,,,,,,,
B,9/14/18,NP,3,20,distrubed,0,0,,,e,,,,,,,,,,,,,,
B,9/14/18,NP,3,35,distrubed,0,0,,,h,,,,,,,,,,,,,,
B,9/14/18,NP,3,50,distrubed,0,0,,,h,,,,,,,,,,,,,,
A,11/1/18,P ,1,5,distrubed,0,0,,,e,,,,,,,,,,,,,,
A,11/1/18,P ,1,20,distrubed,0,0,,,e,,,,,,,,,,,,,,
A,11/1/18,P ,1,35,distrubed,0,0,,,e,,,,,,,,,,,,,,
A,11/1/18,P ,1,50,distrubed,0,0,,,e,,,,,,,,,,,,,,
A,11/1/18,P ,2,5,distrubed,0,0,,,e,,,,,,,,,,,,,,
A,11/1/18,P ,2,20,distrubed,0,0,,,e,,,,,,,,,,,,,,
A,11/1/18,P ,2,35,distrubed,0,0,,,h,,,,,,,,,,,,,,
A,11/1/18,P ,2,50,distrubed,0,0,,,h,,,,,,,,,,,,,,
A,11/1/18,P ,3,5,distrubed,0,0,,,h,,,,,,,,,,,,,,
A,11/1/18,P ,3,20,distrubed,0,0,,,e,,,,,,,,,,,,,,
A,11/1/18,P ,3,35,distrubed,0,0,,,e,,,,,,,,,,,,,,
A,11/1/18,P ,3,50,distrubed,0,0,,,e,,,,,,,,,,,,,,
A,11/2/18,NP,1,5,distrubed,0,0,,,e,,,,,,,,,,,,,,
A,11/2/18,NP,1,20,distrubed,0,0,,,h,,,,,,,,,,,,,,
A,11/2/18,NP,1,35,distrubed,0,0,,,e,,,,,,,,,,,,,,
A,11/2/18,NP,1,50,distrubed,0,0,,,h,,,,,,,,,,,,,,
A,11/2/18,NP,2,5,distrubed,0,,,,e,,,,,,,,,,,,,,
A,11/2/18,NP,2,20,distrubed,0,0,,,h,,,,,,,,,,,,,,
A,11/2/18,NP,2,35,distrubed,0,0,,,h,,,,,,,,,,,,,,
A,11/2/18,NP,2,50,distrubed,55,62.5,,,e,,,,,,,,,,,,,,
A,11/2/18,NP,3,5,distrubed,0,0,,,e,,,,,,,,,,,,,,
A,11/2/18,NP,3,20,distrubed,0,0,,,e,,,,,,,,,,,,,,
A,11/2/18,NP,3,35,distrubed,0,0,,,h,,,,,,,,,,,,,,
A,11/2/18,NP,3,50,distrubed,0,0,,,h,BP average,,,,,,,,,,,,,
B,9/13/18,P ,1,5,ground substrate ,0,0,,,e,16.83333333,,,,,,,,,,,,,
B,9/13/18,P ,1,20,ground substrate ,10,15,,,e,AP Average,,,,,,,,,,,,,
B,9/13/18,P ,1,35,ground substrate ,5,2.5,,,e,7.083333333,,,,,,,,,,,,,
B,9/13/18,P ,1,50,ground substrate ,70,62.5,,,e,BNP Average,,,,,,,,,,,,,
B,9/13/18,P ,2,5,ground substrate ,25,15,,,e,2.5,,,,,,,,,,,,,
B,9/13/18,P ,2,20,ground substrate ,3,2.5,,,e,ANP Average,,,,,,,,,,,,,
B,9/13/18,P ,2,35,ground substrate ,10,15,,,h,1.833333333,,,,,,,,,,,,,
B,9/13/18,P ,2,50,ground substrate ,2,2.5,,,e,,,,,,,,,,,,,,
B,9/14/18,P ,3,5,ground substrate ,2,2.5,,,h,,,,,,,,,,,,,,
B,9/14/18,P ,3,20,ground substrate ,15,15,,,e,,,,,,,,,,,,,,
B,9/14/18,P ,3,35,ground substrate ,55,37.5,,,e,,,,,,,,,,,,,,
B,9/14/18,P ,3,50,ground substrate ,5,2.5,,,e,,,,,,,,,,,,,,
B,9/14/18,NP,1,5,ground substrate ,5,2.5,,,e,,,,,,,,,,,,,,
B,9/14/18,NP,1,20,ground substrate ,0,0,,,h,,,,,,,,,,,,,,
B,9/14/18,NP,1,35,ground substrate ,0,0,,,e,,,,,,,,,,,,,,
B,9/14/18,NP,1,50,ground substrate ,5,2.5,,,h,,,,,,,,,,,,,,
B,9/14/18,NP,2,5,ground substrate ,0,0,,,e,,,,,,,,,,,,,,
B,9/14/18,NP,2,20,ground substrate ,0,0,,,h,,,,,,,,,,,,,,
B,9/14/18,NP,2,35,ground substrate ,10,15,,,h,,,,,,,,,,,,,,
B,9/14/18,NP,2,50,ground substrate ,2,2.5,,,e,,,,,,,,,,,,,,
B,9/14/18,NP,3,5,ground substrate ,3,2.5,,,e,,,,,,,,,,,,,,
B,9/14/18,NP,3,20,ground substrate ,2,2.5,,,e,,,,,,,,,,,,,,
B,9/14/18,NP,3,35,ground substrate ,0,0,,,h,,,,,,,,,,,,,,
B,9/14/18,NP,3,50,ground substrate ,3,2.5,,,h,,,,,,,,,,,,,,
A,11/1/18,P ,1,5,ground substrate ,0,0,,,e,,,,,,,,,,,,,,
A,11/1/18,P ,1,20,ground substrate ,15,15,,,e,,,,,,,,,,,,,,
A,11/1/18,P ,1,35,ground substrate ,2,2.5,,,e,,,,,,,,,,,,,,
A,11/1/18,P ,1,50,ground substrate ,3,2.5,,,e,,,,,,,,,,,,,,
A,11/1/18,P ,2,5,ground substrate ,15,15,,,e,,,,,,,,,,,,,,
A,11/1/18,P ,2,20,ground substrate ,10,15,,,e,,,,,,,,,,,,,,
A,11/1/18,P ,2,35,ground substrate ,5,2.5,,,h,,,,,,,,,,,,,,
A,11/1/18,P ,2,50,ground substrate ,25,15,,,h,,,,,,,,,,,,,,
A,11/1/18,P ,3,5,ground substrate ,1,2.5,,,h,,,,,,,,,,,,,,
A,11/1/18,P ,3,20,ground substrate ,2,2.5,,,e,,,,,,,,,,,,,,
A,11/1/18,P ,3,35,ground substrate ,5,2.5,,,e,,,,,,,,,,,,,,
A,11/1/18,P ,3,50,ground substrate ,2,2.5,,,e,,,,,,,,,,,,,,
A,11/2/18,NP,1,5,ground substrate ,0,0,,,e,,,,,,,,,,,,,,
A,11/2/18,NP,1,20,ground substrate ,4,2.5,,,h,,,,,,,,,,,,,,
A,11/2/18,NP,1,35,ground substrate ,0,0,,,e,,,,,,,,,,,,,,
A,11/2/18,NP,1,50,ground substrate ,0,0,,,h,BP,2,3,6,8,7,5,1,1,2,2,1,0,0
A,11/2/18,NP,2,5,ground substrate ,0,,,,e,AP,1,5,4,12,10,3,0,2,4,1,0,5,0
A,11/2/18,NP,2,20,ground substrate ,0,0,,,h,BNP,0,0,4,12,7,0,0,3,2,3,0,0,0
A,11/2/18,NP,2,35,ground substrate ,15,15,,insect distutbed,h,ANP,0,0,5,11,9,0,0,0,9,2,0,0,1
A,11/2/18,NP,2,50,ground substrate ,0,0,,,e,,,,,,,,,,,,,,
A,11/2/18,NP,3,5,ground substrate ,2,2.5,,,e,,,,,,,,,,,,,,
A,11/2/18,NP,3,20,ground substrate ,0,0,,,e,,RUAC,,,,,,,,,,,,
A,11/2/18,NP,3,35,ground substrate ,0,0,,,h,,red thing,smelly stuff,grass,dead leaves,geranium,lemony stuff,morning glory,cow parsnip,moss,oak saplings/other saplings,mint,lichen,licorice fern
A,11/2/18,NP,3,50,ground substrate ,1,2.5,,,h,before pig average,1,1,1,0,0,0,0,0,0,0,0,0,0
B,9/13/18,P ,1,5,herbaceous/litter,100,97.5,"mostly grass, red thing, smelly stuff, oak leaves",,e,66.91666667,1,1,1,0,0,0,0,0,0,0,0,0,0
B,9/13/18,P ,1,20,herbaceous/litter,90,85,"mostly smelly thing, red thing, tall grass",,e,after pig average,0,0,1,0,1,0,0,0,0,0,0,0,0
B,9/13/18,P ,1,35,herbaceous/litter,20,15,"grass, geranium",,e,65.41666667,0,1,0,1,0,0,0,0,0,0,0,0,0
B,9/13/18,P ,1,50,herbaceous/litter,23,15,"smelly things, dead leaves",,e,before np average,0,0,1,1,1,0,0,0,0,0,0,0,0
B,9/13/18,P ,2,5,herbaceous/litter,70,62.5,"dead leaves, geranium, small amount of grass",,e,63.41666667,0,0,0,1,1,1,0,0,0,1,0,0,0
B,9/13/18,P ,2,20,herbaceous/litter,85,85,"lemoney, lots of geranium, dead leaves, saplings",,e,after np average,0,0,0,1,1,0,0,0,1,1,0,0,0
B,9/13/18,P ,2,35,herbaceous/litter,85,85,"oak and ash saplings, dead leaves, geranium, acorns, moss",,h,57.58333333,0,0,0,1,0,1,0,0,0,0,0,0,0
B,9/13/18,P ,2,50,herbaceous/litter,90,85,"lemony plant, dead leaves",,e,,0,0,0,1,1,0,0,0,1,0,0,0,0
B,9/14/18,P ,3,5,herbaceous/litter,50,37.5,"dead leaves, geranium, moss",,h,,0,0,1,1,1,1,0,0,0,0,1,0,0
B,9/14/18,P ,3,20,herbaceous/litter,65,62.5,"mint, lemoney, geranium, grasses, dead leaves",,e,,0,0,0,0,0,1,1,0,0,0,0,0,0
B,9/14/18,P ,3,35,herbaceous/litter,45,37.5,"lemoney, morning glory",,e,,0,0,1,1,1,1,0,1,0,0,0,0,0
B,9/14/18,P ,3,50,herbaceous/litter,80,85,"lemoney, grass, dead leaves, geranium, cow parsnip",,e,,0,0,1,1,0,0,0,0,1,0,0,0,0
B,9/14/18,NP,1,5,herbaceous/litter,40,37.5,"moss, grasses, dead leaves",,e,,0,0,1,1,0,0,0,0,0,1,0,0,0
B,9/14/18,NP,1,20,herbaceous/litter,80,85,"dead leaves, oak sapling, grasses",,h,,0,0,1,1,0,0,0,0,0,0,0,0,0
B,9/14/18,NP,1,35,herbaceous/litter,90,85,"dead big leaf maple leaves, grasses",,e,,0,0,0,1,1,0,0,0,0,0,0,0,0
B,9/14/18,NP,1,50,herbaceous/litter,62,62.5,"dead leaves, geranium",,h,,0,0,0,0,1,0,0,1,1,0,0,0,0
B,9/14/18,NP,2,5,herbaceous/litter,10,15,"cow parsnip, geranium, moss",,e,,0,0,0,1,1,0,0,0,0,0,0,0,0
B,9/14/18,NP,2,20,herbaceous/litter,50,37.5,"gernium, dead leaves",,h,,0,0,0,1,0,0,0,0,0,1,0,0,0
B,9/14/18,NP,2,35,herbaceous/litter,96,97.5,"oak saplings, dead leaves",,h,,0,0,0,1,1,0,0,0,0,0,0,0,0
B,9/14/18,NP,2,50,herbaceous/litter,80,85,"dead leaves, dead blackberry, geranium",,e,,0,0,1,1,0,0,0,1,0,1,0,0,0
B,9/14/18,NP,3,5,herbaceous/litter,85,37.5,"oak seedlings, grass, cow parsnip, dead leaves, dead blackberry",,e,,0,0,0,1,1,0,0,0,0,0,0,0,0
B,9/14/18,NP,3,20,herbaceous/litter,35,37.5,"geranium, dead leaves",,e,,0,0,0,1,1,0,0,0,0,0,0,0,0
B,9/14/18,NP,3,35,herbaceous/litter,37,37.5,"dead leaves, gernium",,h,,0,0,0,1,1,0,0,1,0,0,0,0,0
B,9/14/18,NP,3,50,herbaceous/litter,96,97.5,"cow parsnip, dead leaves, geranium",,h,,0,0,1,1,1,0,0,0,0,0,0,0,0
A,11/1/18,P ,1,5,herbaceous/litter,100,97.5,"grasses, geranium, dead leaves, unknown forb, gallium?",,e,,1,1,1,1,1,0,0,0,0,0,0,0,0
A,11/1/18,P ,1,20,herbaceous/litter,85,85,"grasses, gernaium, dead leaves, red thing, smelly stuff, unidentified germinates ",,e,,0,0,1,1,1,0,0,0,1,0,0,0,0
A,11/1/18,P ,1,35,herbaceous/litter,35,37.5,"geranium, dead leaves, grasses, moss",,e,,0,1,0,1,0,0,0,0,1,0,0,0,0
A,11/1/18,P ,1,50,herbaceous/litter,95,85,"dead leaves, smelly stuff, moss",,e,,0,0,1,1,1,0,0,0,1,0,0,1,0
A,11/1/18,P ,2,5,herbaceous/litter,55,62.5,"geranium, dead leaves, moss, lichen, unidentified germinates, grasses",,e,,0,0,0,1,1,0,0,0,1,1,0,1,0
A,11/1/18,P ,2,20,herbaceous/litter,40,37.5,"geranium, dead leaves, lichen, moss, oak seedlings",,e,,0,0,0,1,1,0,0,0,0,0,0,0,0
A,11/1/18,P ,2,35,herbaceous/litter,90,85,"dead leaves, geranium",,h,,0,0,0,1,1,0,0,1,0,0,0,1,0
A,11/1/18,P ,2,50,herbaceous/litter,50,37.5,"dead leaves, geranium, cow parsnip, lichen",,h,,0,0,0,1,1,0,0,0,0,0,0,1,0
A,11/1/18,P ,3,5,herbaceous/litter,10,15,"geranium, dead leaves, lichen",,h,,0,1,0,1,1,1,0,0,0,0,0,1,0
A,11/1/18,P ,3,20,herbaceous/litter,60,62.5,"smelly stuff, lemon stuff, dead leaves, geranium, lichen",,e,,0,1,0,1,0,1,0,0,0,0,0,0,0
A,11/1/18,P ,3,35,herbaceous/litter,95,85,"lemon stuff, smelly stuff, dead leaves",,e,,0,1,0,1,1,1,0,1,0,0,0,0,0
A,11/1/18,P ,3,50,herbaceous/litter,70,62.5,"dead leaves, geranium, smelly stuff, cow parsnip, lemon stuff",,e,,0,0,1,0,1,0,0,0,1,0,0,0,1
A,11/2/18,NP,1,5,herbaceous/litter,60,62.5,"geranium, moss, grass city, licorice fern",,e,,0,0,1,1,1,0,0,0,0,0,0,0,0
A,11/2/18,NP,1,20,herbaceous/litter,80,85,"dead leaves, geranium, grasses living and dead, other forbs",,h,,0,0,1,1,1,0,0,0,1,0,0,0,0
A,11/2/18,NP,1,35,herbaceous/litter,90,85,"geranium, moss, grasses, dead big leaf maple leaves",,e,,0,0,0,1,0,0,0,0,1,0,0,0,0
A,11/2/18,NP,1,50,herbaceous/litter,25,15,"dead leaves, moss, small sprouts",,h,,0,0,1,1,1,0,0,0,1,0,0,0,0
A,11/2/18,NP,2,5,herbaceous/litter,50,37.5,"geranium, moss, grass, dead leaves",,e,,0,0,0,1,1,0,0,0,1,0,0,0,0
A,11/2/18,NP,2,20,herbaceous/litter,50,37.5,"geranium, dead leaves, moss",,h,,0,0,0,1,1,0,0,0,1,0,0,0,0
A,11/2/18,NP,2,35,herbaceous/litter,85,85,"dead leaves, geranium, moss",,h,,0,0,0,1,0,0,0,0,1,1,0,0,0
A,11/2/18,NP,2,50,herbaceous/litter,55,62.5,"moss, baby oaks, dead leaves",,e,,0,0,0,1,1,0,0,0,1,1,0,0,0
A,11/2/18,NP,3,5,herbaceous/litter,75,62.5,"oak seedlings, geranium, moss, dead leaves",,e,,0,0,1,1,1,0,0,0,0,0,0,0,0
A,11/2/18,NP,3,20,herbaceous/litter,15,15,"geranium, dead leaves, grasses",,e,,0,0,0,1,1,0,0,0,1,0,0,0,0
A,11/2/18,NP,3,35,herbaceous/litter,10,15,"dead leaves, geranium, moss",,h,,0,0,0,1,0,0,0,0,0,0,0,0,0
A,11/2/18,NP,3,50,herbaceous/litter,96,97.5,dead leaves,,h,,,,,,,,,,,,,,
B,9/13/18,P ,1,5,invasive vine,0,0,,,e,,,,,,,,,,,,,,
B,9/13/18,P ,1,20,invasive vine,0,0,,,e,,,,,,,,,,,,,,
B,9/13/18,P ,1,35,invasive vine,55,62.5,"Him. Blackberry, Evergreen blackberry?",,e,,,,,100,100,,97.5,97.5,,,,,
B,9/13/18,P ,1,50,invasive vine,2,2.5,Him. Blackberry,,e,,,,,90,85,,85,85,,,,,
B,9/13/18,P ,2,5,invasive vine,17,15,Him. Blackberry,,e,,,,,20,35,,15,37.5,,,,,
B,9/13/18,P ,2,20,invasive vine,20,15,Him. Blackberry,,e,,,,,23,95,,15,85,,,,,
B,9/13/18,P ,2,35,invasive vine,0,0,,,h,,,,,70,55,,62.5,62.5,,,,,
B,9/13/18,P ,2,50,invasive vine,30,37.5,Him. Blackberry,,e,,,,,85,40,,85,37.5,,,,,
B,9/14/18,P ,3,5,invasive vine,20,15,Him. Blackberry,,h,,,,,85,90,,85,85,,,,,
B,9/14/18,P ,3,20,invasive vine,0,0,,,e,,,,,90,50,,85,37.5,,,,,
B,9/14/18,P ,3,35,invasive vine,0,0,,,e,,,,,50,10,,37.5,15,,,,,
B,9/14/18,P ,3,50,invasive vine,1,2.5,Him. Blackberry,,e,,,,,65,60,,62.5,62.5,,,,,
B,9/14/18,NP,1,5,invasive vine,25,15,Him. Blackberry,,e,,,,,45,95,,37.5,85,,,,,
B,9/14/18,NP,1,20,invasive vine,0,0,,,h,,,,,80,70,,85,62.5,,,,,
B,9/14/18,NP,1,35,invasive vine,10,15,Him. Blackberry,,e,,,,,40,60,,37.5,62.5,,,,,
B,9/14/18,NP,1,50,invasive vine,40,37.5,Him. Blackberry,,h,,,,,80,80,,85,85,,,,,
B,9/14/18,NP,2,5,invasive vine,90,85,Him. Blackberry,,e,,,,,90,90,,85,85,,,,,
B,9/14/18,NP,2,20,invasive vine,50,37.5,Him. Blackberry,pic from other side,h,,,,,62,25,,62.5,15,,,,,
B,9/14/18,NP,2,35,invasive vine,0,0,,,h,,,,,10,50,,15,37.5,,,,,
B,9/14/18,NP,2,50,invasive vine,20,15,Him. Blackberry,,e,,,,,50,50,,37.5,37.5,,,,,
B,9/14/18,NP,3,5,invasive vine,50,37.5,Him. blackberry,,e,,,,,96,85,,97.5,85,,,,,
B,9/14/18,NP,3,20,invasive vine,80,85,Him. blackberry,,e,,,,,80,55,,85,62.5,,,,,
B,9/14/18,NP,3,35,invasive vine,87,85,Him. blackberry,,h,,,,,85,75,,37.5,62.5,,,,,
B,9/14/18,NP,3,50,invasive vine,1,2.5,Him. blackberry,,h,,,,,35,15,,37.5,15,,,,,
A,11/1/18,P ,1,5,invasive vine,0,0,,next to path,e,,,,,37,10,,37.5,15,,,,,
A,11/1/18,P ,1,20,invasive vine,0,0,,stake gone,e,,,,,96,96,,97.5,97.5,,,,,
A,11/1/18,P ,1,35,invasive vine,65,62.5,him. and evergreen blackberry,next to path,e,,,,,,,,,,,,,,
A,11/1/18,P ,1,50,invasive vine,0,0,,on creek bed,e,,,,,65.16666667,61.5,,61.14583333,58.85416667,,,,,
A,11/1/18,P ,2,5,invasive vine,15,15,him. blackberry,easy access,e,,,,,,,,,,,,,,
A,11/1/18,P ,2,20,invasive vine,50,37.5,him. blackberry,easy access,e,,,,,,,,,,,,,,
A,11/1/18,P ,2,35,invasive vine,0,0,,somewhat easy access,h,,,,,,,,,,,,,,
A,11/1/18,P ,2,50,invasive vine,10,15,him. blackberry,easy access from creek bed,h,,,,,,,,,,,,,,
A,11/1/18,P ,3,5,invasive vine,25,15,him. blackberry,"next to main road, not easily accesible",h,,,,,,,,,,,,,,
A,11/1/18,P ,3,20,invasive vine,0,0,,next to creek bed,e,,,,,,,,,,,,,,
A,11/1/18,P ,3,35,invasive vine,0,0,,in stream bed,e,,,,,,,,,,,,,,
A,11/1/18,P ,3,50,invasive vine,2,2.5,him. blackberry,right next to electric fence and creek bed,e,,,,,,,,,,,,,,
A,11/2/18,NP,1,5,invasive vine,60,62.5,him. blackberry,right next to road,e,,,,,,,,,,,,,,
A,11/2/18,NP,1,20,invasive vine,0,0,,"not great, 4/10",h,,,,,,,,,,,,,,
A,11/2/18,NP,1,35,invasive vine,10,15,him. blackberry,"pretty accesible, in stream bed",e,,,,,,,,,,,,,,
