orchard_age,block,management,seedmix,bare,weeds,amsinckia,plectritis,collomia,clarkia,epilobium,gilia,sanguisorba,lotus,achillea,geum,prunella,potentilla,eriophyllum,agoseris,viola,lomatium,barley,oats,vetch,clover,carex,festuca,danthonia,notes
15,6,scraped,annuals,0,95,1,30,2,,5,,1,,5,,1,,,,,,,,,,,,,plec 200-250
15,6,scraped,perennials,0,40,,2,,,,,,,70,,60,,5,,,,,,,,,,,plec 1-10
15,6,scraped,industry,5,80,,,,,,,,,,,,,,,,,,,5,80,,,,
15,6,scraped,control,0,100,,,,,,,,,5,,,,5,,,,,,,,,,,
15,6,flailed,annuals,0,100,,1,1,,,,,,15,,5,,,,,,,,,,,,,plec 0-10
15,6,flailed,perennials,0,90,,,,,,,,,65,,10,,,,,2,,,,,,,,
15,6,flailed,industry,2,98,,,,,,,,,,,,,,,,,,,,20,,,,
15,6,flailed,control,5,95,,,,,,,,,,,,,,,,,,,,1,,,,
15,6,unmanaged,annuals,0,100,,10,,,,,,,,,,,,,,,,,,,,,,plec 50-100
15,6,unmanaged,perennials,0,80,,,,,,,,,60,,60,,40,,,10,,,,,,,,lom 10-50
15,6,unmanaged,megamix,0,90,,,,,,,,,20,5,55,,5,,,,,,1,,,,,
15,6,unmanaged,control,0,95,,,,,,,,,,,,,,,,,,,2,,,,,
15,6,orchard,true control,,,,,,,,,,,,,,,,,,,,,,,,,,
15,5,scraped,annuals,0,100,,,1,2,,,,,,,,,,,,,5,,,,,,,
15,5,scraped,perennials,0,80,,,,,,,,,75,10,40,,10,,,5,,,,,,,,geum 0-10
15,5,scraped,industry,5,95,,,,,,,,,,,,,,,,,1,8,,2,,,,
15,5,scraped,control,2,98,,,,,,,,,2,,5,,,,,,,,,,,,,
15,5,flailed,annuals,0,100,,,1,,,,,,5,,5,,,,,,,,,,,,,
15,5,flailed,perennials,0,90,,,,,,,,,70,5,20,,10,,,5,,,,,,,,
15,5,flailed,industry,0,100,,,,,,,,,,5,5,,,,,,,,,,,,,
15,5,flailed,control,0,100,,,,,,,,,,,3,,,,,,,,5,,,,,
15,5,unmanaged,annuals,0,100,,,2,,,,,,1,,,,,,,,,,,,,,,
15,5,unmanaged,perennials,0,95,,,,,,,,,40,,50,,,,,5,,,,,,,,lom 0-10
15,5,unmanaged,megamix,15,85,,,,,,,,,15,2,15,,,,,5,,,,,,,,geum 1
15,5,unmanaged,control,1,100,,,,,,,,,,,10,,,,,1,,,,,,,,
15,5,orchard,true control,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4,scraped,annuals,0,99,,15,,,,,,,,,,,,,,,,,,,,,,plec 10-50
15,4,scraped,perennials,0,70,,,,,,,,,70,15,25,,50,,,,,,,,,,,geum 1
15,4,scraped,industry,2,98,,,,,,,,,,1,1,,,,,,,,10,20,,,,
15,4,scraped,control,0,95,,,,,,,,,5,,10,,1,,,,,,,,,,,
15,4,flailed,annuals,15,85,,2,5,2,2,,,,,,5,,,,,,,,,,,,,plec 0-10
15,4,flailed,perennials,5,60,,,,,1,,,,90,5,70,,60,,,20,,,,,,,,lom 10-50
15,4,flailed,industry,0,99,,,,,,,,,3,,,,,,,,,5,10,55,,,,
15,4,flailed,control,5,95,,,,,,,,,,,5,,,,,,,,,,,,,
15,4,unmanaged,annuals,0,100,,,1,,1,,1,,,,1,,,,,,,,,,,,,
15,4,unmanaged,perennials,0,80,,,,,,,,,50,15,50,,,,,10,,,,,,,,"geum 0-10, lom 10-50"
15,4,unmanaged,megamix,0,65,,,,,,,,,5,40,70,,,,,,,,1,,,,,
15,4,unmanaged,control,0,95,,,,,,,,,,,5,,,,,,,,,,,,,
15,4,orchard,true control,,,,,,,,,,,,,,,,,,,,,,,,,,
15,3,scraped,annuals,5,80,40,15,5,5,20,,,,1,,,,,,,,10,,,,,,,"ams 150-200, plec 50-100"
15,3,scraped,perennials,0,75,,,,,,,,,60,10,35,,40,,,5,,,,,,,,geum 10-50
15,3,scraped,industry,0,90,10,,,,,,,,5,,,,,,,,10,15,,50,,,,"ams 10-50, clov 10-50"
15,3,scraped,control,0,99,,,,,,,,,5,,,,5,,,,,,,,,,,
15,3,flailed,annuals,0,40,90,20,1,,,,,,,,,,,,,,,,,,,,,"plec 100-150, ams 1000-1100"
15,3,flailed,perennials,0,30,1,,,,,,,,95,5,30,,25,,,15,,,,,,,,ams 0-10
15,3,flailed,industry,0,90,20,,,,,,,,,,,,,,,,30,5,,40,,,,
15,3,flailed,control,0,99,5,,,,10,,,,10,1,,,5,,,,,,,,,,,
15,3,unmanaged,annuals,0,5,85,15,,45,65,,,,,,,,,,,,,,,,,,,"plec 50-100, ams 800-900"
15,3,unmanaged,perennials,0,10,1,,,5,,,,,90,10,50,,30,,,15,,,,,,,,"geum 10-50, lom 0-10"
15,3,unmanaged,megamix,10,70,5,,2,10,65,,1,,25,10,10,,15,,,,,,,,,15,,"geum 0-10, ams 0-10"
15,3,unmanaged,control,15,80,,,1,,15,,,,15,2,2,,10,,,,,1,,1,,,,geumm 0-10
15,3,orchard,true control,,,,,,,,,,,,,,,,,,,,,,,,,,
