Farm,Management,Block,Age,Cup Code,week,Dry Dirt Weight (g),Water Weight (g),Water Content (%/g),Soil Core Weight (g),Soil Core Volume (cm^3),Soil Density (Weight/Volume),Volume of water (cm^3),Soil cup volume (cm^3) (Weight (g)/ Soil density),% soil moisture (volume of water/volume of soil)
mainfarm,unmanaged,1,60,,1,,,,,,,,,0.248
mainfarm,flailed,1,60,,1,,,,,,,,,0.217
mainfarm,scraped,1,60,,1,,,,,,,,,0.214
mainfarm,unmanaged,2,60,,1,,,,,,,,,0.181
mainfarm,flailed,2,60,,1,,,,,,,,,0.189
mainfarm,scraped,2,60,,1,,,,,,,,,0.212
mainfarm,unmanaged,3,60,,1,,,,,,,,,0.224
mainfarm,flailed,3,60,,1,,,,,,,,,0.216
mainfarm,scraped,3,60,,1,,,,,,,,,0.238
mainfarm,unmanaged,4,60,,1,,,,,,,,,0.184
mainfarm,flailed,4,60,,1,,,,,,,,,0.265
mainfarm,scraped,4,60,,1,,,,,,,,,0.221
mainfarm,unmanaged,5,60,,1,,,,,,,,,0.237
mainfarm,flailed,5,60,,1,,,,,,,,,0.266
mainfarm,scraped,5,60,,1,,,,,,,,,0.217
mainfarm,unmanaged,6,60,,1,,,,,,,,,0.205
mainfarm,flailed,6,60,,1,,,,,,,,,0.253
mainfarm,scraped,6,60,,1,,,,,,,,,0.214
mainfarm,unmanaged,1,60,MF P1U W2,2,59.53,7.39,11.04303646,24.995,38.6,0.6475388601,7.39,91.93270654,0.08038488453
mainfarm,flailed,1,60,MF P1F W2,2,57.69,11.52,16.6449935,24.135,38.6,0.6252590674,11.52,92.26575513,0.1248567248
mainfarm,scraped,1,60,MF P1S W2,2,45.71,6.35,12.19746446,23.575,38.6,0.6107512953,6.35,74.84224814,0.08484512635
mainfarm,unmanaged,2,60,MF P2U W2,2,,,,22.03,38.6,0.5707253886,,,
mainfarm,flailed,2,60,MF P2F W2,2,52.7,4.85,8.427454387,22.035,38.6,0.5708549223,4.85,92.31767642,0.05253598431
mainfarm,scraped,2,60,MF P2S W2,2,64,8.43,11.63882369,31.86,38.6,0.825388601,8.43,77.53923415,0.1087191548
mainfarm,unmanaged,3,60,MF P3U W2,2,,,,32.715,38.6,0.8475388601,,,
mainfarm,flailed,3,60,MF P3F W2,2,42.82,9.73,18.51569933,22.29,38.6,0.5774611399,9.73,74.15217586,0.1312166486
mainfarm,scraped,3,60,MF P3S W2,2,57.98,8.35,12.58857229,27.995,38.6,0.7252590674,8.35,79.94384712,0.1044483134
mainfarm,unmanaged,4,60,MF P4U W2,2,41.17,,,18.32,38.6,0.474611399,,,
mainfarm,flailed,4,60,MF P4F W2,2,56.48,8.01,12.42053031,19.01,38.6,0.4924870466,8.01,114.6832194,0.06984456876
mainfarm,scraped,4,60,MF P4S W2,2,42.62,5.86,12.08745875,23.185,38.6,0.6006476684,5.86,70.95673927,0.08258553113
mainfarm,unmanaged,5,60,MF P5U W2,2,54.89,12.39,18.41557669,26.41,38.6,0.6841968912,12.39,80.22544491,0.1544397792
mainfarm,flailed,5,60,MF P5F W2,2,60.19,8.16,11.93855157,27.34,38.6,0.7082901554,8.16,84.97929773,0.09602338708
mainfarm,scraped,5,60,MF P5S W2,2,61.01,8.13,11.75875036,25.765,38.6,0.6674870466,8.13,91.4025228,0.08894721667
mainfarm,unmanaged,6,60,MF P6U W2,2,58.64,8.55,12.7251079,18.2,38.6,0.4715025907,8.55,124.3683516,0.06874739342
mainfarm,flailed,6,60,MF P6F W2,2,61.53,11.69,15.96558317,30.9,38.6,0.8005181347,11.69,76.86271845,0.1520893384
mainfarm,scraped,6,60,MF P6S W2,2,62.14,4.91,7.322893363,21.8,38.6,0.5647668394,4.91,110.0277064,0.04462512361
mainfarm,unmanaged,1,60,MF P1U W3,3,30.28,3.02,9.069069069,24.995,38.6,0.6475388601,3.02,46.76167233,0.06458280573
mainfarm,flailed,1,60,MF P1F W3,3,45.69,8.86,16.24197984,24.135,38.6,0.6252590674,8.86,73.07371038,0.1212474357
mainfarm,scraped,1,60,MF P1S W3,3,56.05,8.19,12.749066,23.575,38.6,0.6107512953,8.19,91.77221633,0.08924269596
mainfarm,unmanaged,2,60,MF P2U W3,3,34.77,5.67,14.02077151,22.03,38.6,0.5707253886,5.67,60.92246936,0.09306910996
mainfarm,flailed,2,60,MF P2F W3,3,58.36,7.01,10.7235735,22.035,38.6,0.5708549223,7.01,102.2326299,0.06856910564
mainfarm,scraped,2,60,MF P2S W3,3,48.99,6.07,11.02433709,31.86,38.6,0.825388601,6.07,59.35386064,0.1022679896
mainfarm,unmanaged,3,60,MF P3U W3,3,51.89,4.92,8.660447104,32.715,38.6,0.8475388601,4.92,61.22433135,0.08036020797
mainfarm,flailed,3,60,MF P3F W3,3,46.03,8.64,15.8039144,22.29,38.6,0.5774611399,8.64,79.71099148,0.1083915761
mainfarm,scraped,3,60,MF P3S W3,3,39.73,4.92,11.01903695,27.995,38.6,0.7252590674,4.92,54.78042508,0.08981310374
mainfarm,unmanaged,4,60,MF P4U W3,3,37.27,9.09,19.60742019,18.32,38.6,0.474611399,9.09,78.52740175,0.1157557718
mainfarm,flailed,4,60,MF P4F W3,3,43.18,6.24,12.62646702,19.01,38.6,0.4924870466,6.24,87.67743293,0.07116996691
mainfarm,scraped,4,60,MF P4S W3,3,35.72,5.63,13.61547763,23.185,38.6,0.6006476684,5.63,59.46913953,0.09467095109
mainfarm,unmanaged,5,60,MF P5U W3,3,,,,26.41,38.6,0.6841968912,,,
mainfarm,flailed,5,60,MF P5F W3,3,,,,27.34,38.6,0.7082901554,,,
mainfarm,scraped,5,60,MF P5S W3,3,,,,25.765,38.6,0.6674870466,,,
mainfarm,unmanaged,6,60,MF P6U W3,3,,,,18.2,38.6,0.4715025907,,,
mainfarm,flailed,6,60,MF P6F W3,3,,,,30.9,38.6,0.8005181347,,,
mainfarm,scraped,6,60,MF P6S W3,3,,,,21.8,38.6,0.5647668394,,,
northhowell,unmanaged,1,40,NH P1U W1,1,53.19,12.99,19.62828649,9.814143246,38.6,0.2542524157,12.99,209.2015521,0.06209322955
northhowell,flailed,1,40,NH P1F W1,1,60.58,9.08,13.03474017,6.517370083,38.6,0.1688437845,9.08,358.7931896,0.02530705783
northhowell,scraped,1,40,NH P1S W1,1,50.96,9.39,15.55923778,7.77961889,38.6,0.2015445308,9.39,252.8473474,0.03713703188
northhowell,unmanaged,2,40,NH P2U W1,1,46.49,17.09,26.87952186,13.43976093,38.6,0.348180335,17.09,133.522762,0.1279931582
northhowell,flailed,2,40,NH P2F W1,1,53.24,16.42,23.57163365,11.78581682,38.6,0.3053320421,16.42,174.3675496,0.09416889803
northhowell,scraped,2,40,NH P2S W1,1,55.4,18.83,25.36710225,12.68355112,38.6,0.3285894074,18.83,168.5994702,0.1116848112
northhowell,unmanaged,3,40,NH P3U W1,1,56.73,17.61,23.68845843,11.84422922,38.6,0.3068453165,17.61,184.8814271,0.09525023839
northhowell,flailed,3,40,NH P3F W1,1,63.93,20.13,23.94718059,11.97359029,38.6,0.3101966397,20.13,206.0950759,0.09767336708
northhowell,scraped,3,40,NH P3S W1,1,60.37,18.89,23.83295483,11.91647742,38.6,0.3087170315,18.89,195.5512454,0.09659871998
northhowell,unmanaged,4,40,NH P4U W1,1,53.54,25.92,32.62018626,16.31009313,38.6,0.4225412728,25.92,126.7095156,0.2045623793
northhowell,flailed,4,40,NH P4F W1,1,50.83,19.52,27.74697939,13.87348969,38.6,0.3594168315,19.52,141.4235382,0.1380251141
northhowell,scraped,4,40,NH P4S W1,1,51.61,13.62,20.87996321,10.4399816,38.6,0.2704658447,13.62,190.8189186,0.07137657051
