Month,Orchard Age,Block,Management,Seed Mix,Host Plant,Morphospecies,Count,Notes
april,15,1,flail,annual,weed,beetle,1,weed = lamium
april,15,1,unmanaged,annual,weed,syrphid,10,weed = brassica
april,15,1,unmanaged,annual,weed,syrphid,1,weed = dandelion
april,15,1,unmanaged,annual,weed,wasp,1,weed = dandelion; black wasp
april,15,2,unmanaged,annual,weed,honeybee,1,
april,15,2,unmanaged,perennial,weed,honeybee,4,by 2 bees
april,15,2,unmanaged,industry,weed,honeybee,2,by 2 bees
april,15,2,flail,annual,weed,honeybee,39,by 3 bees
april,15,2,flail,annual,weed,other fly,2,by 1 fly
april,15,2,flail,perennial,lomatium,other fly,2,by 1 fly
april,15,2,flail,industry,weed,honeybee,3,by 1 bee
april,15,2,flailscrape,annual,weed,honeybee,3,by 1 bee
april,15,3,unmanaged,annual,weed,honeybee,5,by 2 bees
april,15,3,unmanaged,perennial,weed,honeybee,2,
april,15,3,unmanaged,perennial,weed,syrphid,4,by 2 flies
april,15,3,flail,annual,weed,honeybee,19,by 6 bees
april,15,3,flail,annual,plectritis,other fly,1,
april,15,3,flailscrape,annual,plectritis,honeybee,2,
april,15,3,flailscrape,annual,weed,honeybee,2,by 2 bees
april,15,3,flailscrape,annual,weed,syrphid,2,
april,15,3,flailscrape,industry,weed,honeybee,4,weed = lamium
april,15,3,flailscrape,perennial,weed,syrphid,25,"weed = lamium, senocio"
april,15,4,flailscrape,annual,weed,honeybee,10,by 4 bees
april,15,4,flailscrape,annual,weed,syrphid,2,weed = veronica; by 2 flies
april,15,4,flail,perennial,weed,other fly,1,weed = veronica
april,15,5,flail,annual,weed,syrphid,4,weed = veronica; by 1 fly
april,15,5,flail,control,weed,syrphid,1,weed = senocio
april,15,6,flailscrape,annual,plectritis,syrphid,1,
april,15,6,unmanaged,annual,weed,syrphid,4,weed = veronica; by 1 fly
april,40,3,unmanaged,perennial,geum,big black bee,3,by 1 bee
april,40,3,unmanaged,perennial,geum,small black bee,1,
april,40,3,unmanaged,megamix,geum,big black bee,2,
april,40,3,unmanaged,megamix,geum,syrphid,1,
april,40,3,unmanaged,megamix,geum,other fly,2,
april,40,4,flail,perennial,geum,other fly,3,
april,40,4,unmanaged,perennial,geum,other fly,3,
april,40,4,unmanaged,megamix,geum,other fly,1,
april,60,1,flailscrape,perennial,geum,other fly,1,
april,60,1,unmanaged,megamix,geum,beetle,1,
april,60,2,flail,industry,weed,other fly,2,
april,60,2,unmanaged,perennial,geum,small black bee,1,
april,60,3,flailscrape,industry,weed,beetle,1,
april,60,3,flail,perennial,geum,other fly,2,
april,60,3,flail,perennial,geum,beetle,2,
april,60,3,unmanaged,perennial,geum,beetle,1,
april,60,4,flailscrape,perennial,geum,small black bee,2,
april,60,5,unmanaged,annual,geum,small black bee,1,"recorded in annual subplot, but an escaped perennial geum plant"
april,60,5,unmanaged,perennial,geum,small black bee,1,
april,60,6,unmanaged,perennial,geum,small black bee,1,
may,15,1,flailscrape,perennial,achillea,honeybee,1,
may,15,1,flailscrape,perennial,achillea,beetle,1,
may,15,1,flailscrape,perennial,achillea,earwig,1,
may,15,1,flailscrape,perennial,weed,honeybee,2,
may,15,1,flailscrape,perennial,weed,syrphid,1,
may,15,1,flailscrape,control,weed,small black bee,1,
may,15,1,flail,industry,weed,other fly,1,
may,15,1,unmanaged,annual,plectritis,big black bee,1,
may,15,1,unmanaged,annual,weed,syrphid,1,
may,15,2,flailscrape,annual,plectritis,small black bee,2,
may,15,2,flailscrape,perennial,lomatium,honeybee,3,
may,15,2,flailscrape,perennial,geum,small black bee,1,
may,15,2,flailscrape,control,weed,honeybee,2,
may,15,2,flail,annual,plectritis,honeybee,1,
may,15,2,flail,annual,weed,honeybee,3,
may,15,2,flail,perennial,geum,small black bee,6,
may,15,2,unmanaged,megamix,plectritis,syrphid,1,
may,15,3,flailscrape,annual,amsinckia,syrphid,1,
may,15,3,flailscrape,control,weed,small black bee,1,
may,15,3,flail,annual,amsinckia,honeybee,15,
may,15,3,flail,annual,plectritis,honeybee,2,
may,15,3,flail,industry,weed,syrphid,1,
may,15,3,unmanaged,annual,amsinckia,honeybee,4,
may,15,3,unmanaged,annual,amsinckia,other bee,2,
may,15,3,unmanaged,annual,plectritis,honeybee,7,
may,15,3,unmanaged,perennial,achillea,honeybee,1,
may,15,3,unmanaged,perennial,lomatium,honeybee,1,
may,15,3,unmanaged,perennial,weed,honeybee,3,
may,15,3,unmanaged,megamix,amsinckia,small black bee,1,
may,15,3,unmanaged,megamix,amsinckia,honeybee,6,
may,15,3,unmanaged,megamix,plectritis,honeybee,2,
may,15,4,flailscrape,annual,plectritis,small black bee,3,
may,15,4,flailscrape,annual,weed,small black bee,3,
may,15,4,flailscrape,industry,weed,other fly,1,
may,15,4,flail,annual,weed,honeybee,2,
may,15,4,flail,perennial,lomatium,big black bee,1,
may,15,4,unmanaged,annual,weed,small black bee,1,
may,15,4,unmanaged,annual,weed,other fly,2,
may,15,4,unmanaged,perennial,lomatium,butterfly,1,
may,15,4,unmanaged,control,weed,other fly,1,
may,15,5,flailscrape,perennial,geum,big black bee,2,
may,15,5,flailscrape,control,weed,honeybee,4,
may,15,5,flail,annual,weed,other fly,1,
may,15,5,flail,control,weed,small black bee,4,
may,15,5,unmanaged,megamix,weed,small black bee,2,
may,15,6,flailscrape,annual,plectritis,big black bee,1,
may,15,6,flailscrape,annual,plectritis,small black bee,15,
may,15,6,unmanaged,perennial,lomatium,small black bee,2,
may,15,6,unmanaged,megamix,weed,small black bee,1,
may,40,3,unmanaged,perennial,geum,small black bee,3,
may,40,4,flailscrape,perennial,geum,other fly,1,
may,40,4,unmanaged,perennial,geum,small black bee,5,
may,40,4,unmanaged,perennial,geum,beetle,2,
may,60,1,flailscrape,perennial,geum,small black bee,2,
may,60,1,flail,perennial,geum,other fly,1,
may,60,1,unmanaged,perennial,geum,small black bee,1,
may,60,1,unmanaged,megamix,geum,small black bee,2,
may,60,2,flailscrape,perennial,geum,small black bee,5,
may,60,2,flailscrape,perennial,geum,syrphid,1,
may,60,2,flail,perennial,geum,small black bee,8,
may,60,2,unmanaged,perennial,geum,big black bee,2,
may,60,2,unmanaged,perennial,geum,small black bee,2,
may,60,2,unmanaged,perennial,geum,other bee,1,
may,60,2,unmanaged,megamix,geum,beetle,1,
may,60,2,unmanaged,control,geum,small black bee,2,
may,60,2,unmanaged,control,geum,big black bee,1,
may,60,3,flailscrape,perennial,geum,small black bee,5,
