orchard_age,block,management,seedmix,canopy,year
15,6,scraped,annuals,7,2020
15,6,scraped,perennials,0,2020
15,6,scraped,industry,10,2020
15,6,scraped,control,1,2020
15,6,flailed,annuals,11,2020
15,6,flailed,perennials,11,2020
15,6,flailed,industry,8,2020
15,6,flailed,control,1,2020
15,6,unmanaged,annuals,0,2020
15,6,unmanaged,perennials,14,2020
15,6,unmanaged,megamix,23,2020
15,6,unmanaged,control,5,2020
15,5,scraped,annuals,6,2020
15,5,scraped,perennials,10,2020
15,5,scraped,industry,4,2020
15,5,scraped,control,0,2020
15,5,flailed,annuals,12,2020
15,5,flailed,perennials,4,2020
15,5,flailed,industry,2,2020
15,5,flailed,control,0,2020
15,5,unmanaged,annuals,12,2020
15,5,unmanaged,perennials,11,2020
15,5,unmanaged,megamix,0,2020
15,5,unmanaged,control,3,2020
15,4,scraped,annuals,19,2020
15,4,scraped,perennials,14,2020
15,4,scraped,industry,3,2020
15,4,scraped,control,10,2020
15,4,flailed,annuals,13,2020
15,4,flailed,perennials,9,2020
15,4,flailed,industry,9,2020
15,4,flailed,control,3,2020
15,4,unmanaged,annuals,11,2020
15,4,unmanaged,perennials,12,2020
15,4,unmanaged,megamix,1,2020
15,4,unmanaged,control,9,2020
15,3,scraped,annuals,7,2020
15,3,scraped,perennials,10,2020
15,3,scraped,industry,8,2020
15,3,scraped,control,6,2020
15,3,flailed,annuals,3,2020
15,3,flailed,perennials,15,2020
15,3,flailed,industry,1,2020
15,3,flailed,control,2,2020
15,3,unmanaged,annuals,10,2020
15,3,unmanaged,perennials,8,2020
15,3,unmanaged,megamix,1,2020
15,3,unmanaged,control,2,2020
15,2,scraped,annuals,16,2020
15,2,scraped,perennials,7,2020
15,2,scraped,industry,19,2020
15,2,scraped,control,1,2020
15,2,flailed,annuals,14,2020
15,2,flailed,perennials,19,2020
15,2,flailed,industry,17,2020
15,2,flailed,control,33,2020
15,2,unmanaged,annuals,20,2020
15,2,unmanaged,perennials,14,2020
15,2,unmanaged,megamix,1,2020
15,2,unmanaged,control,2,2020
15,1,scraped,annuals,12,2020
15,1,scraped,perennials,71,2020
15,1,scraped,industry,7,2020
15,1,scraped,control,20,2020
15,1,flailed,annuals,12,2020
15,1,flailed,perennials,7,2020
15,1,flailed,industry,5,2020
15,1,flailed,control,2,2020
15,1,unmanaged,annuals,11,2020
15,1,unmanaged,perennials,12,2020
