Day,Month,Orchard Age,Block,Management,Seed Mix,Host Plant,Order,Genus,Notes,Count
22,april,60,2,no management,perennial,geum,Coleoptera,Coleoptera,,1
22,april,60,2,no management,perennial,geum,Hymenoptera,Lasioglossum,,1
22,april,60,2,flail,perennial,geum,Coleoptera,Coleoptera,,1
22,april,60,2,flail,perennial,geum,Coleoptera,Coleoptera,,1
22,april,60,3,flail,perennial,geum,Hymenoptera,Osmia,,1
22,april,60,3,flail,perennial,geum,Coleoptera,Coleoptera,,1
22,april,60,4,no management,perennial,geum,Hymenoptera,Lasioglossum,,1
22,april,60,4,flailscrape,perennial,geum,Hymenoptera,Lasioglossum,,1
22,april,60,4,flailscrape,perennial,geum,Hymenoptera,Lasioglossum,,1
22,april,60,5,no management,perennial,geum,Hymenoptera,Panurginus,,1
22,april,60,5,no management,megamix,geum,Coleoptera,Coleoptera,,1
22,april,60,6,no management,perennial,geum,Coleoptera,Coleoptera,,1
29,april,40,3,no management,perennial,geum,Diptera,Eupeodes,,1
29,april,40,3,no management,perennial,geum,Diptera,Diptera,,1
29,april,40,3,no management,perennial,geum,Hymenoptera,Lasioglossum,,1
29,april,40,4,no management,perennial,geum,Hymenoptera,Lasioglossum,,1
29,april,15,1,flail,control,weed,Diptera,Eupeodes,Cardamine,1
29,april,15,2,flailscrape,perennial,lomatium,Diptera,Diptera,,1
29,april,15,2,flail,annual,weed,Hymenoptera,Panurginus,Lamium,1
29,april,15,2,flail,perennial,weed,Hymenoptera,Panurginus,Cerastium,1
29,april,15,3,flail,perennial,plectritis,Diptera,Diptera,,1
29,april,15,3,flailscrape,perennial,weed,Diptera,Eupeodes,Veronica,1
29,april,15,4,no management,annual,weed,Hymenoptera,Ceratina,Cardamine,1
29,april,15,4,no management,annual,weed,Hymenoptera,Ceratina,Cardamine,1
29,april,15,4,no management,annual,weed,Hymenoptera,Panurginus,Cardamine,1
29,april,15,4,flail,annual,weed,Hymenoptera,Ceratina,Veronica,1
29,april,15,4,flail,annual,weed,Hymenoptera,Panurginus,Veronica,1
29,april,15,4,flailscrape,annual,weed,Hymenoptera,Ceratina,Lamium,1
29,april,15,4,flailscrape,perennial,weed,Diptera,Diptera,Cardamine,1
29,april,15,4,flailscrape,annual,weed,Hymenoptera,Panurginus,Cardamine,1
29,april,15,4,flailscrape,annual,weed,Hymenoptera,Panurginus,Asteraceae,1
29,april,15,4,flailscrape,perennial,weed,Hymenoptera,Ceratina,Veronica,1
