orchardage,block,management,amsmen,plecon,colgra,clapur,epiden,gilcap,sanann,lotpur,achmil,geumac,pruvul,potgra,erilan,agogra,viopra,lomnud,barley,oats,vetch,clover,cartum,fesroe,dancal
orchardage,6,scraped,,200,,,25,10,10,,300,,300,,50,,,,25,1,,300,,,
15,6,flailed,,10,10,,10,,,,100,,50,,25,,,,,10,10,50,,,
15,6,unmanaged,,50,,,10,,,,200,150,100,,,,,25,,,,10,,,
15,5,scraped,,,25,,,25,,,500,10,200,,100,,,,,,,50,,,
15,5,flailed,,,25,,,10,,,300,,300,,50,,,,10,,10,10,,,
15,5,unmanaged,,,10,,10,,,,50,25,50,,,,,10,,,,,,,
15,4,scraped,,25,25,20,,,,,300,50,400,,150,,,,25,25,5,50,,,
15,4,flailed,10,10,25,,,25,,,400,,200,,100,,,25,25,25,,50,,,
15,4,unmanaged,,,25,10,50,,,,300,50,500,,100,,,25,25,25,,,,5,
15,3,scraped,400,50,,,,25,,10,800,25,25,,150,,,,10,25,,100,,,
15,3,flailed,1000,100,25,,,10,,,800,,100,,150,,,,150,25,,50,,,
15,3,unmanaged,1000,50,10,,1000,,,,1000,25,,,200,,,10,,,,,,25,
15,2,scraped,200,10,150,,,25,,,800,,100,,25,,,100,100,100,,50,,,
15,2,flailed,50,,100,,50,25,,,1000,50,100,25,100,2,,,,,,250,,,
15,2,unmanaged,250,25,200,,300,50,,,1000,50,100,,150,,,,,,,,,150,25
15,1,flailed,150,10,10,,,25,10,,1000,10,300,1,300,,,25,,,,50,,,
15,1,scraped,50,25,50,,,50,,,1000,,100,,300,,,10,,,,50,,,
15,1,unmanaged,100,25,,,800,50,,,1000,10,200,,250,,,,,,,,,,25
40,6,orchardage,,,10,,,10,,,,,10,,,,,,,,,,,,
40,6,flailed,10,,25,,,10,,,,,25,10,,,,,,,,,,,
40,6,unmanaged,10,,25,,,25,,,,50,25,,,,,,,,,,10,,10
40,5,scraped,,,,,10,,,,,,,10,,,,,,,,,,,
40,5,flailed,,,,,10,,,,,,,,,,,,,,,,,,
40,5,unmanaged,,,10,,10,,10,,,50,25,,,,,,,,,,,,
40,4,scraped,,,10,,,,,,10,,25,,,,,,,,,,,,
40,4,flailed,,,25,,25,50,,,,25,25,,,,,,,,,,,,
40,4,unmanaged,,,10,,,25,,,,125,,25,,,,,,,,,,,
40,3,scraped,,,10,,,25,10,,,,10,,,,,,,,,,,,
40,3,flailed,,,10,,,50,,,,,,,,,,,,,,,,,
40,3,unmanaged,,,,,,25,,,,250,,,,,,,,,,,,,
40,2,scraped,10,,,1,,1,,,,,,,,,,,,,,,,,
40,2,flailed,,,,,,10,,,,,,,,,,,,,,,,,
40,2,unmanaged,,,10,,10,10,,,,,,,,,,,,,,,,,
40,1,scraped,,,,,,10,,10,,,,,,,,,,,,,,,
40,1,flailed,,,10,,50,25,,,,,10,,,,,,,,,,,,
40,1,unmanaged,,,,,25,,,,,,,,,,,,,,,,,,
60,6,scraped,,,50,,100,,,,10,200,,,25,,,,,50,,,,,
60,6,flailed,10,,50,,25,10,10,,,25,,10,,,,,,,,,,,
60,6,unmanaged,10,,25,,10,10,10,,,350,10,,,,,,,,,25,,,
60,5,scraped,25,,25,,10,10,10,15,,300,25,,,,,,10,25,,,,,
60,5,flailed,10,,25,,50,25,25,,50,300,50,,25,,,,25,50,,,,,
60,5,unmanaged,,1,25,,10,25,10,,,100,10,,,,,,,,,,,,
60,4,scraped,,1,100,10,150,10,,,,400,25,,,,,,25,100,50,50,,,
60,4,flailed,,,50,,50,10,,,,150,10,,,,,,,,,10,,,
60,4,unmanaged,,,10,,10,10,10,,,550,,,,,,,,,,,,,
60,3,flailed,10,,50,,25,10,10,,25,25,,,10,,,,25,25,25,,,,
60,3,scraped,,,50,,25,10,,,50,200,10,,25,,,,25,,,25,,,
60,3,unmanaged,,,10,,,,,,,,,,25,,,,,,,,,,
60,2,scraped,,,100,,100,,,,150,25,,100,100,,,,200,400,,,,,
60,2,flailed,,,25,,10,,,,,300,,,25,,,,100,150,,25,,,
60,2,unmanaged,,,400,1000,50,,,,1000,500,100,,150,,,,,,,,,,
60,1,scraped,10,,25,,25,10,,,25,100,50,,,,,,10,100,,,,,
60,1,flailed,50,,50,,50,25,,10,,25,10,,,,,,,,,10,,,
60,1,unmanaged,25,,100,,200,10,,,50,400,50,,100,,,,,,,,,,
